Rank,Name,Brewing Company,Type,Alcohol Percent,Ratings,Avg Rating
74,Swish,Bissell Brothers Brewing Co.,IPA - New England,8,1676,4.59
75,Sip Of Sunshine,Lawson's Finest Liquids,IPA - Imperial,8,6035,4.58
76,Haze,Tree House Brewing Company,IPA - New England,8.2,3127,4.58
77,Chocolate Rain,The Bruery,Stout - American Imperial,19.6,2861,4.58
78,Ghost In The Machine - Double Dry-Hopped,Parish Brewing Company,IPA - New England,8.5,363,4.63
79,Doppelganger,Tree House Brewing Company,IPA - New England,8.2,2078,4.58
80,Black Note Stout,Bell's Brewery - Eccentric Café & General Store,Stout - American Imperial,11.2,4944,4.57
81,Flora Plum,Hill Farmstead Brewery,Farmhouse Ale - Saison,5,379,4.62
82,Beer Geek Vanilla Shake - Bourbon Barrel-Aged,Mikkeller ApS,Stout - American Imperial,13,576,4.6
83,West Ashley,Sante Adairius Rustic Ales,Farmhouse Ale - Saison,7.3,1188,4.58
84,A Deal With The Devil,Anchorage Brewing Company,Barleywine - American,17.3,1129,4.58
85,Triple Sunshine,Lawson's Finest Liquids,IPA - Imperial,10.5,1114,4.58
86,Saint Lamvinus,Brasserie Cantillon,Lambic - Fruit,7,2270,4.57
87,Keene Idea,Alpine Beer Company,IPA - Imperial,8.88,525,4.6
88,Galaxy Dry Hopped Fort Point Pale Ale,Trillium Brewing Company,Pale Ale - American,6.6,1776,4.57
89,Triple Shot,Tree House Brewing Company,Stout - American Imperial,9.7,636,4.59
90,The Broken Truck,de Garde Brewing,Wild Ale,5,372,4.61
91,Abricot Du Fermier,Side Project Brewing,Farmhouse Ale - Saison,8,425,4.6
92,Coffee Cinnamon B-Bomb,Fremont Brewing Company,Strong Ale - American,13,1099,4.57
93,Breakfast Stout,Founders Brewing Company,Stout - Oatmeal,8.3,17806,4.55
94,Trappistes Rochefort 10,Brasserie de Rochefort,Quadrupel (Quad),11.3,9849,4.55
95,Saison Du Fermier,Side Project Brewing,Farmhouse Ale - Saison,7,865,4.57
96,§ucaba,Firestone Walker Brewing Co.,Barleywine - English,12.5,5491,4.55
97,Black Gold,Central Waters Brewing Co.,Stout - American Imperial,11,852,4.57
98,Sunday Brunch,Kane Brewing Company,Porter - Imperial,9.2,838,4.57
99,Coconut Vibes,Shared Brewing,Stout - Russian Imperial,13,176,4.66
100,Bourbon Paradise,Prairie Artisan Ales,Stout - American Imperial,13.7,796,4.57
101,Plead The 5th - Bourbon Barrel-Aged,Dark Horse Brewing Company,Stout - Russian Imperial,11,3351,4.55
102,Beyond Good And Evil,Hill Farmstead Brewery,Stout - American Imperial,10,764,4.57
103,The Rusty Nail,Fremont Brewing Company,Stout - Oatmeal,13.3,750,4.57
104,Alter Ego,Tree House Brewing Company,IPA - New England,6.8,2574,4.55
105,Pirate Paradise,Prairie Artisan Ales,Stout - American Imperial,13,343,4.6
106,Black Tuesday - Reserve,The Bruery,Stout - American Imperial,20.5,326,4.6
107,Last Buffalo In The Park,Funky Buddha Brewery,Porter - Imperial,11.5,904,4.56
108,Miami Madness,J. Wakefield Brewing,Sour - Fruited Kettle Sour,5.5,475,4.58
109,Society & Solitude #5,Hill Farmstead Brewery,IPA - New England,8.1,1623,4.55
110,Notorious Triple IPA,Boneyard Beer Company,IPA - Imperial,12,883,4.56
111,Blåbær Lambik,Brasserie Cantillon,Lambic - Fruit,5,871,4.56
112,The Peach,de Garde Brewing,Wild Ale,7.3,311,4.6
113,Cutting Tiles - Mosaic,Trillium Brewing Company,IPA - New England,8.5,1393,4.55
114,Double Shot,Tree House Brewing Company,Stout - American Imperial,7.6,1189,4.55
115,Samuel Adams Utopias,Boston Beer Company (Samuel Adams),Strong Ale - American,28,2778,4.54
116,Cable Car Kriek,The Lost Abbey,Wild Ale,7,156,4.66
117,Pirate Bomb!,Prairie Artisan Ales,Stout - American Imperial,15,2456,4.54
118,Speedway Stout - Bourbon Barrel-Aged,AleSmith Brewing Company,Stout - American Imperial,12,2299,4.54
119,Wide Awake It's Morning,Funky Buddha Brewery,Porter - Imperial,10,994,4.55
120,Grey Monday,The Bruery,Stout - American Imperial,19.9,1915,4.54
121,Parabajava,Firestone Walker Brewing Co.,Stout - Russian Imperial,14,920,4.55
122,Mexican Brunch,Kane Brewing Company,Porter - Imperial,9.2,602,4.56
123,Consecration,Russian River Brewing Company,Wild Ale,10,5582,4.53
124,Framboos,Brouwerij 3 Fonteinen,Lambic - Fruit,5,836,4.55
125,Pseudo Sue - Double Dry-Hopped,Toppling Goliath Brewing Company,Pale Ale - American,6.8,1323,4.54
126,Great,Alpine Beer Company,Barleywine - American,14,759,4.55
127,Scaled Way Up,Trillium Brewing Company,IPA - New England,8,543,4.56
128,Hypermash Hydra,Bottle Logic Brewing,Stout - American Imperial,13.54,117,4.69
129,In Perpetuity,Tree House Brewing Company,IPA - New England,6.7,1092,4.54
130,Gggreennn!,Tree House Brewing Company,IPA - New England,7.5,510,4.56
131,Barrel-Aged Sump Coffee Stout,Perennial Artisan Ales,Stout - American Imperial,10.5,631,4.55
132,Bomb!,Prairie Artisan Ales,Stout - American Imperial,13,6578,4.52
133,Pseudo Sue,Toppling Goliath Brewing Company,Pale Ale - American,5.8,5682,4.52
134,Abrasive Ale,Surly Brewing Company,IPA - Imperial,9.2,4803,4.52
135,Permanent Funeral,3 Floyds Brewing Co.,IPA - Imperial,10.5,3155,4.52
136,Moment Of Clarity,Tree House Brewing Company,Stout - Sweet / Milk,7.7,533,4.55
137,Hommage,Brouwerij 3 Fonteinen,Lambic - Fruit,6,1132,4.53
138,Double Dry Hopped Double Mosaic Dream,Other Half Brewing Company,IPA - New England,8.5,684,4.54
139,Kaggen! Stormaktsporter,Närke Kulturbryggeri AB,Stout - Russian Imperial,10,218,4.6
140,Mocha Wednesday,The Bruery,Stout - American Imperial,19.9,1489,4.52
141,No Rules,Perrin Brewing Co.,Porter - Imperial,15,1400,4.52
142,Darkness,Surly Brewing Company,Stout - Russian Imperial,12,4199,4.51
143,Lou Pepe - Gueuze,Brasserie Cantillon,Lambic - Gueuze,5,1264,4.52
144,Heavy Mettle,Trillium Brewing Company,IPA - New England,9.3,1224,4.52
145,Everett,Hill Farmstead Brewery,Porter - American,7.5,2837,4.51
146,Congress Street IPA,Trillium Brewing Company,IPA - New England,7.2,2432,4.51
147,Double Stack,Great Notion Brewing,Stout - American Imperial,11,673,4.53
148,Society & Solitude #6,Hill Farmstead Brewery,IPA - New England,8.1,1023,4.52
149,Upper Case,Trillium Brewing Company,IPA - New England,9,1022,4.52
150,Susan,Hill Farmstead Brewery,IPA - American,6.2,2082,4.51
151,Speedway Stout - Vietnamese Coffee,AleSmith Brewing Company,Stout - American Imperial,12,1995,4.51
152,Medianoche - Coconut,WeldWerks Brewing Co.,Stout - American Imperial,14.1,173,4.61
153,Montmorency Vs Balaton,Jester King Brewery,Wild Ale,6.1,931,4.52
154,Mexican Cake - Maple Bourbon Barrel-Aged,Westbrook Brewing Co.,Stout - American Imperial,10.2,189,4.6
155,Bourbon Barrel Aged Dark Star: Coffee Edition,Fremont Brewing Company,Stout - Oatmeal,13.6,896,4.52
156,Fundamental Forces,Bottle Logic Brewing,Stout - American Imperial,16.2,266,4.57
157,Abt 12,Brouwerij St. Bernardus NV,Quadrupel (Quad),10,10187,4.5
158,Damon (Bourbon Barrel Aged),Hill Farmstead Brewery,Stout - Russian Imperial,10.5,866,4.52
159,The Abyss,Deschutes Brewery,Stout - American Imperial,11.4,7534,4.5
160,Leaner,Casey Brewing & Blending,Farmhouse Ale - Saison,8,229,4.58
161,Double Nelson,Hill Farmstead Brewery,IPA - New England,8,442,4.54
162,KBS - Maple Mackinac Fudge,Founders Brewing Company,Stout - American Imperial,11,815,4.52
163,Double Dry Hopped Melcher Street,Trillium Brewing Company,IPA - New England,7.2,1385,4.51
164,Fort Point Pale Ale - Mosaic Dry Hopped,Trillium Brewing Company,Pale Ale - American,6.6,1291,4.51
165,Oude Geuze Golden Blend,Brouwerij 3 Fonteinen,Lambic - Gueuze,7.5,1182,4.51
166,Abraxas,Perennial Artisan Ales,Stout - American Imperial,11.5,3054,4.5
167,Art,Hill Farmstead Brewery,Farmhouse Ale - Saison,6.5,519,4.53
168,Very HHHazyyy,Tree House Brewing Company,IPA - New England,8.8,113,4.66
169,Genealogy Of Morals - Bourbon Barrel-Aged,Hill Farmstead Brewery,Stout - American Imperial,10.7,691,4.52
170,La Fosse,Side Project Brewing,Wild Ale,8,398,4.54
171,Saison Bernice,Sante Adairius Rustic Ales,Farmhouse Ale - Saison,6.5,1053,4.51
172,Trappist Westvleteren 8 (VIII),Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren),Dubbel,8,2355,4.5
173,DFPF,J. Wakefield Brewing,Sour - Berliner Weisse,3.5,481,4.53
174,Double Dry Hopped Double Mosaic Daydream,Other Half Brewing Company,IPA - New England,8.5,469,4.53
175,Bad Boy,Alpine Beer Company,IPA - Imperial,9,618,4.52
176,Double Dry Hopped Mylar Bags,Other Half Brewing Company,IPA - New England,8.5,611,4.52
177,Cutting Tiles - Galaxy,Trillium Brewing Company,IPA - New England,8.5,606,4.52
178,Apple Brandy Barrel Noir,Prairie Artisan Ales,Stout - American Imperial,12,1700,4.5
179,Hopslam Ale,Bell's Brewery - Eccentric Café & General Store,IPA - Imperial,10,13935,4.49
180,Double Barrel Jesus,Evil Twin Brewing,Stout - American Imperial,12,822,4.51
181,BDCS,Ozark Beer Co.,Stout - American Imperial,10.2,534,4.52
182,Impermanence,Tree House Brewing Company,Stout - Sweet / Milk,9.2,530,4.52
183,Stickee Monkee,Firestone Walker Brewing Co.,Quadrupel (Quad),12.5,2969,4.49
184,Oude Geuze Cuvée Armand & Gaston,Brouwerij 3 Fonteinen,Lambic - Gueuze,6.5,708,4.51
185,Appervation,Jackie O's Pub & Brewery,Stout - American Imperial,15,325,4.54
186,Adam From The Wood,Hair Of The Dog Brewing Company / Brewery And Tasting Room,Old Ale,12,1048,4.5
187,Ground State,Bottle Logic Brewing,Stout - American Imperial,13.4,665,4.51
188,Crusher,The Alchemist,IPA - New England,8,2315,4.49
189,Maple Bacon Coffee Porter,Funky Buddha Brewery,Porter - American,6.4,2209,4.49
190,Last Snow,Funky Buddha Brewery,Porter - American,6.4,2149,4.49
191,Leche Borracho,Bottle Logic Brewing,Stout - American Imperial,11,465,4.52
192,Matt,Hair Of The Dog Brewing Company / Brewery And Tasting Room,Strong Ale - American,11.5,929,4.5
193,Hold On To Sunshine,Tree House Brewing Company,Stout - Sweet / Milk,7.6,589,4.51
194,Double Dry Hopped All Citra Everything,Other Half Brewing Company,IPA - New England,8.5,589,4.51
195,King Sue - Double Dry-Hopped,Toppling Goliath Brewing Company,IPA - New England,7.8,227,4.56
196,Hunahpu's Imperial Stout - Bourbon Barrel-Aged,Cigar City Brewing,Stout - American Imperial,14.6,422,4.52
197,Barrel-Aged Silhouette,Lift Bridge Brewery,Stout - Russian Imperial,11,543,4.51
198,Aurelian Lure,Jester King Brewery,Wild Ale,5.4,770,4.5
199,Affogato,Trillium Brewing Company,Stout - American Imperial,13.3,418,4.52
200,Citraquench'l,Heist Brewery,IPA - New England,7.1,340,4.53
201,"Somewhere, Something Incredible Is Waiting To Be Known",Tree House Brewing Company,Stout - Sweet / Milk,7.9,417,4.52
202,Abraxas - Coffee,Perennial Artisan Ales,Stout - American Imperial,11.5,747,4.5
203,Gueuze 100% Lambic,Brasserie Cantillon,Lambic - Gueuze,5,3961,4.48
204,Temptation,Russian River Brewing Company,Wild Ale,7.5,3869,4.48
205,Barrel Aged Bomb!,Prairie Artisan Ales,Stout - American Imperial,14.7,1241,4.49
206,Clare's Thirsty Ale,Haymarket Beer Co. Pub & Brewery,Stout - American Imperial,12.5,333,4.53
207,Fuzzy Baby Ducks,New England Brewing Co.,IPA - New England,6.2,1124,4.49
208,Dorothy (Wine Barrel Aged),Hill Farmstead Brewery,Farmhouse Ale - Saison,7,269,4.54
209,Ten FIDY - Bourbon Barrel Aged,Oskar Blues Grill & Brew,Stout - American Imperial,12.5,2258,4.48
210,Mother Of All Storms,Pelican Pub & Brewery,Barleywine - English,14,2147,4.48
211,Sosus,Toppling Goliath Brewing Company,IPA - Imperial,7.8,1987,4.48
212,Imperial German Chocolate Cupcake Stout,Angry Chair Brewing,Stout - American Imperial,11.5,306,4.53
213,Black Biscuit,Founders Brewing Company,Old Ale,10.5,261,4.54
214,Bodhi,Columbus Brewing Company,IPA - Imperial,8.5,1762,4.48
215,Bourbon Barrel Oro Negro,Jackie O's Pub & Brewery,Stout - American Imperial,12.1,599,4.5
216,Rodenbach Caractere Rouge,Brouwerij Rodenbach N.V.,Sour - Flanders Red Ale,7,1588,4.48
217,Thicket,Side Project Brewing,Wild Ale,6,294,4.53
218,Coconut B-Bomb,Fremont Brewing Company,Strong Ale - American,13,349,4.52
219,Flora,Hill Farmstead Brewery,Farmhouse Ale - Saison,4.8,815,4.49
220,Expedition Stout - Bourbon Barrel-Aged,Bell's Brewery - Eccentric Café & General Store,Stout - Russian Imperial,13.4,780,4.49
221,Juicy,Hill Farmstead Brewery,Farmhouse Ale - Saison,7.4,764,4.49
222,Birth Of Tragedy,Hill Farmstead Brewery,Porter - Imperial,9,1291,4.48
223,Foggier Window,Monkish Brewing Co.,IPA - New England,8.1,283,4.53
224,Ghost In The Machine,Parish Brewing Company,IPA - New England,8.5,1246,4.48
225,Space Trace,Bottle Logic Brewing,Stout - American Imperial,11.1,394,4.51
226,Bourbon Barrel Champion Ground,Jackie O's Pub & Brewery,Stout - American Imperial,12.9,689,4.49
227,Affogato - Bourbon Barrel-Aged,Trillium Brewing Company,Stout - American Imperial,14.9,144,4.59
228,Tweak,Avery Brewing Company,Stout - American Imperial,16,2706,4.47
229,Hop JuJu,Fat Head's Brewery & Saloon,IPA - Imperial,9,2382,4.47
230,Fort Point Pale Ale,Trillium Brewing Company,Pale Ale - American,6.6,2243,4.47
231,Imperial Eclipse Stout - Elijah Craig (12 Year),FiftyFifty Brewing Co.,Stout - American Imperial,11.9,2037,4.47
232,All That Is And All That Ever Will Be,Tree House Brewing Company,Stout - Sweet / Milk,6.5,460,4.5
233,Emerald Grouper,Pipeworks Brewing Company,IPA - Imperial,9.5,927,4.48
234,Schaarbeekse Kriek,Brouwerij 3 Fonteinen,Lambic - Fruit,6,925,4.48
235,Sang Noir,Cascade Brewing / Raccoon Lodge & Brewpub,Wild Ale,9.3,1859,4.47
236,Omega Point,Olde Hickory Brewery,Barleywine - English,10,453,4.5
237,Vicinity,Trillium Brewing Company,IPA - New England,8,1774,4.47
238,Cellarman Barrel Aged Saison,Sante Adairius Rustic Ales,Farmhouse Ale - Saison,6.5,566,4.49
239,Smooth,Side Project Brewing,Wild Ale,6,219,4.54
240,Black Tuesday - Rum Barrel-Aged,The Bruery,Stout - American Imperial,18.9,345,4.51
241,Peche 'n Brett,Logsdon Farmhouse Ales,Farmhouse Ale - Saison,10,1490,4.47
242,Coolship Red,Allagash Brewing Company,Lambic - Fruit,6.2,805,4.48
243,Fyodor,Stone Brewing,Stout - Russian Imperial,13.1,1421,4.47
244,Black & Wild,Side Project Brewing,Wild Ale,10,245,4.53
245,Blanc De Blancs,Side Project Brewing,Biere de Champagne / Biere Brut,10,335,4.51
246,Caffe Americano,Cigar City Brewing,Stout - American Imperial,12,1247,4.47
247,Darkstar November,Bottle Logic Brewing,Stout - Russian Imperial,14.76,718,4.48
248,Bourbon Barrel Black Maple,Jackie O's Pub & Brewery,Porter - Imperial,13.1,1133,4.47
249,The Streets,Trillium Brewing Company,IPA - New England,10,483,4.49
250,Dragonsaddle,Hoof Hearted Brewing,IPA - New England,11.5,378,4.5
